float_id,cycle_number,profile_date,latitude,longitude,data_mode,direction,temp_measurements,psal_measurements,pres_measurements,max_pressure,min_temp,max_temp,min_salinity,max_salinity,profile_file
6903569,46,,68.38676,-5.57238,D,A,1000,1000,1000,2000.06005859375,-0.7405999898910522,5.314300060272217,34.90700149536133,35.020599365234375,argo_organized_data\float_6903569\profiles\cycle_046.json
6903569,47,,68.35274,-5.84324,D,A,1000,1000,1000,1999.300048828125,-0.737500011920929,5.083700180053711,34.90760040283203,35.01350021362305,argo_organized_data\float_6903569\profiles\cycle_047.json
6903569,48,,68.14546,-5.91187,D,A,1000,1000,1000,1999.280029296875,-0.7444000244140625,4.7846999168396,34.907501220703125,34.998600006103516,argo_organized_data\float_6903569\profiles\cycle_048.json
6903569,49,,67.83338,-5.99888,D,A,999,999,999,2000.199951171875,-0.7538999915122986,4.490799903869629,34.88249969482422,34.98189926147461,argo_organized_data\float_6903569\profiles\cycle_049.json
6903569,50,,67.55389,-5.97124,D,A,999,999,999,1999.6700439453125,-0.7494999766349792,4.5559000968933105,34.89149856567383,34.99020004272461,argo_organized_data\float_6903569\profiles\cycle_050.json
6903569,51,,67.30061,-5.89289,D,A,1000,1000,1000,1999.27001953125,-0.7534999847412109,4.472400188446045,34.89580154418945,34.987098693847656,argo_organized_data\float_6903569\profiles\cycle_051.json
6903569,52,,67.10068,-5.9606,D,A,999,999,999,2000.27001953125,-0.743399977684021,4.36299991607666,34.86370086669922,34.97930145263672,argo_organized_data\float_6903569\profiles\cycle_052.json
6903569,53,,66.96389,-5.81725,D,A,999,999,999,2000.0999755859375,-0.741599977016449,4.279200077056885,34.89659881591797,34.979400634765625,argo_organized_data\float_6903569\profiles\cycle_053.json
6903569,54,,66.84377,-5.69283,D,A,999,999,999,1999.739990234375,-0.7383999824523926,4.200900077819824,34.898399353027344,34.988800048828125,argo_organized_data\float_6903569\profiles\cycle_054.json
6903569,55,,66.70608,-5.65327,D,A,999,999,999,2000.1700439453125,-0.7462000250816345,4.287300109863281,34.894798278808594,34.989200592041016,argo_organized_data\float_6903569\profiles\cycle_055.json
6903569,56,,66.66941,-5.7378,D,A,999,999,999,2000.18994140625,-0.7441999912261963,4.2891998291015625,34.89830017089844,34.98910140991211,argo_organized_data\float_6903569\profiles\cycle_056.json
6903569,57,,66.68005,-5.66595,D,A,997,997,997,1999.2099609375,-0.7404000163078308,4.083799839019775,34.89910125732422,34.982398986816406,argo_organized_data\float_6903569\profiles\cycle_057.json
6903569,59,,66.70168,-5.7653,D,A,1000,1000,1000,1999.219970703125,-0.7486000061035156,4.000199794769287,34.8838996887207,34.97249984741211,argo_organized_data\float_6903569\profiles\cycle_059.json
6903569,60,,66.70195,-5.70053,D,A,998,998,998,2000.260009765625,-0.7437999844551086,4.214000225067139,34.89759826660156,34.9734992980957,argo_organized_data\float_6903569\profiles\cycle_060.json
6903569,61,,66.69055,-5.40743,D,A,998,998,998,1999.6800537109375,-0.7422000169754028,4.1020002365112305,34.89970016479492,34.9744987487793,argo_organized_data\float_6903569\profiles\cycle_061.json
6903569,62,,66.59833,-5.17374,D,A,999,999,999,1999.1400146484375,-0.7444999814033508,4.085400104522705,34.88370132446289,34.96540069580078,argo_organized_data\float_6903569\profiles\cycle_062.json
6903569,63,,66.48038,-5.18835,D,A,1000,1000,1000,2000.1400146484375,-0.7389000058174133,4.011600017547607,34.89939880371094,34.97309875488281,argo_organized_data\float_6903569\profiles\cycle_063.json
6903569,64,,66.44266,-5.13861,D,A,999,999,999,2000.3499755859375,-0.7472000122070312,3.965100049972534,34.89799880981445,34.971099853515625,argo_organized_data\float_6903569\profiles\cycle_064.json
6903569,65,,66.42023,-4.80871,D,A,999,999,999,1998.47998046875,-0.7441999912261963,3.4210000038146973,34.899600982666016,34.935298919677734,argo_organized_data\float_6903569\profiles\cycle_065.json
6903569,66,,66.39886,-4.52599,D,A,999,999,999,1999.800048828125,-0.7491999864578247,3.9372000694274902,34.90060043334961,34.965999603271484,argo_organized_data\float_6903569\profiles\cycle_066.json
6903569,67,,66.24868,-4.56524,D,A,999,999,999,1999.3900146484375,-0.7455000281333923,3.869800090789795,34.90079879760742,34.9536018371582,argo_organized_data\float_6903569\profiles\cycle_067.json
6903569,68,,66.11971,-4.83055,D,A,997,997,997,1998.550048828125,-0.7487999796867371,4.018499851226807,34.90549850463867,34.96269989013672,argo_organized_data\float_6903569\profiles\cycle_068.json
6903569,69,,65.9295,-4.88973,D,A,999,999,999,2000.27001953125,-0.7476999759674072,4.059999942779541,34.90489959716797,34.9463005065918,argo_organized_data\float_6903569\profiles\cycle_069.json
6903569,70,,65.85165,-4.95055,D,A,999,999,999,1999.699951171875,-0.7580000162124634,4.079999923706055,34.90520095825195,34.95479965209961,argo_organized_data\float_6903569\profiles\cycle_070.json
6903569,71,,65.77182,-5.03411,D,A,999,999,999,1999.8599853515625,-0.7541000247001648,4.163700103759766,34.90530014038086,34.9557991027832,argo_organized_data\float_6903569\profiles\cycle_071.json
6903569,72,,65.71087,-5.07865,D,A,999,999,999,1999.0899658203125,-0.7610999941825867,4.145100116729736,34.904300689697266,34.96149826049805,argo_organized_data\float_6903569\profiles\cycle_072.json
6903569,73,,65.658,-5.11524,D,A,999,999,999,1999.739990234375,-0.7612000107765198,4.073500156402588,34.904300689697266,34.95819854736328,argo_organized_data\float_6903569\profiles\cycle_073.json
6903569,74,,65.57858,-5.15606,D,A,998,998,998,1998.1400146484375,-0.7605999708175659,4.084400177001953,34.904998779296875,34.957801818847656,argo_organized_data\float_6903569\profiles\cycle_074.json
6903569,75,,65.48601,-5.20181,D,A,999,999,999,1999.3299560546875,-0.7598000168800354,4.047299861907959,34.905601501464844,34.941200256347656,argo_organized_data\float_6903569\profiles\cycle_075.json
6903569,76,,65.38634,-5.29687,D,A,998,998,998,1998.22998046875,-0.755299985408783,4.091100215911865,34.90489959716797,34.93949890136719,argo_organized_data\float_6903569\profiles\cycle_076.json
6903569,77,,65.29608,-5.45229,D,A,998,998,998,1999.8399658203125,-0.7511000037193298,4.177999973297119,34.904998779296875,34.93880081176758,argo_organized_data\float_6903569\profiles\cycle_077.json
6903569,78,,65.20065,-5.67156,D,A,998,998,998,1999.9200439453125,-0.7563999891281128,4.070400238037109,34.904998779296875,34.946998596191406,argo_organized_data\float_6903569\profiles\cycle_078.json
6903569,79,,65.11617,-5.85236,D,A,999,999,999,1999.6800537109375,-0.7585999965667725,4.039999961853027,34.89860153198242,34.93560028076172,argo_organized_data\float_6903569\profiles\cycle_079.json
6903569,80,,65.04582,-6.07468,D,A,998,998,998,1998.469970703125,-0.7526999711990356,4.033400058746338,34.901100158691406,34.943199157714844,argo_organized_data\float_6903569\profiles\cycle_080.json
6903569,81,,64.96185,-6.29401,D,A,998,998,998,2000.3199462890625,-0.7439000010490417,4.077499866485596,34.89849853515625,34.94150161743164,argo_organized_data\float_6903569\profiles\cycle_081.json
6903569,82,,64.86006,-6.44744,D,A,1000,1000,1000,2001.68994140625,-0.7379000186920166,4.178999900817871,34.901798248291016,34.94390106201172,argo_organized_data\float_6903569\profiles\cycle_082.json
6903569,83,,64.75703,-6.41064,D,A,1000,1000,1000,2001.3299560546875,-0.7454000115394592,4.507599830627441,34.89950180053711,34.93960189819336,argo_organized_data\float_6903569\profiles\cycle_083.json
6903569,84,,64.75076,-6.30755,D,A,999,999,999,2000.3199462890625,-0.7488999962806702,4.719399929046631,34.90019989013672,34.938499450683594,argo_organized_data\float_6903569\profiles\cycle_084.json
6903569,85,,64.7635,-6.24425,D,A,1000,1000,1000,1999.9100341796875,-0.7470999956130981,4.960400104522705,34.89939880371094,34.937801361083984,argo_organized_data\float_6903569\profiles\cycle_085.json
6903569,86,,64.77594,-6.19107,D,A,1000,1000,1000,2001.030029296875,-0.7457000017166138,5.070099830627441,34.89590072631836,34.933799743652344,argo_organized_data\float_6903569\profiles\cycle_086.json
6903569,87,,64.79658,-6.11943,D,A,1000,1000,1000,2001.050048828125,-0.7491999864578247,5.167900085449219,34.880401611328125,34.92319869995117,argo_organized_data\float_6903569\profiles\cycle_087.json
6903569,88,,64.81997,-6.02171,D,A,1000,1000,1000,2001.25,-0.7541999816894531,5.682499885559082,34.87950134277344,34.92210006713867,argo_organized_data\float_6903569\profiles\cycle_088.json
6903569,89,,64.85922,-5.90989,D,A,1000,1000,1000,2001.1300048828125,-0.75,6.19290018081665,34.88209915161133,34.92789840698242,argo_organized_data\float_6903569\profiles\cycle_089.json
6903569,90,,64.89925,-5.76606,D,A,1000,1000,1000,2001.3699951171875,-0.751800000667572,6.150700092315674,34.89039993286133,34.926300048828125,argo_organized_data\float_6903569\profiles\cycle_090.json
6903569,91,,64.96241,-5.60475,D,A,1000,1000,1000,2001.199951171875,-0.7520999908447266,6.465799808502197,34.88850021362305,34.923301696777344,argo_organized_data\float_6903569\profiles\cycle_091.json
6903569,92,,65.02665,-5.50251,D,A,1000,1000,1000,2001.1600341796875,-0.7475000023841858,6.198800086975098,34.89440155029297,34.93130111694336,argo_organized_data\float_6903569\profiles\cycle_092.json
6903569,93,,65.05997,-5.44327,D,A,999,999,999,2000.06005859375,-0.7502999901771545,6.168799877166748,34.8848991394043,34.938499450683594,argo_organized_data\float_6903569\profiles\cycle_093.json
